"","X","Y","Price","Category"
"1",571201.064081,3873227.72539,238.86,"Residential"
"2",571199.241598,3873201.14761,160.56,"Residential"
"3",571240.009461,3873135.82107,362.34,"Residential"
"4",571222.95469,3873110.62198,2.29,"Residential"
"5",571232.895014,3873108.48174,16,"Residential"
"6",571204.914022,3873129.23148,26.74,"Residential"
"7",571204.880976,3873155.45798,84.42,"Residential"
"8",571221.011084,3873186.2375,464.4,"Residential"
"9",571222.710296,3873135.16779,18.7,"Residential"
"10",571279.562641,3873110.17893,129.96,"Residential"
"11",571269.787599,3873144.95714,269.82,"Residential"
"12",571267.737557,3873175.30501,70.2,"Residential"
"13",571301.793315,3873152.62732,483.66,"Residential"
"14",571332.822878,3873170.69071,289.62,"Residential"
"15",571334.606331,3873123.92459,21.29,"Forest"
"16",571370.533326,3873084.74474,19.3,"Forest"
"17",571335.032461,3873092.6654,71.89,"Forest"
"18",571267.463941,3873198.3486,143.46,"Residential"
"19",571280.019471,3873219.50705,545.76,"Residential"
"20",571363.487773,3873213.80237,1831.68,"Residential"
"21",571412.755655,3873353.70532,13.73,"Field"
"22",571361.610113,3873304.92858,52.97,"Field"
"23",571379.789855,3873359.2888,26.15,"Field"
"24",571391.893969,3873492.91667,5.84,"Field"
"25",571359.667081,3873472.52419,83.53,"Forest"
"26",571371.374241,3872849.37281,56.88,"Residential"
"27",571375.518036,3872847.12484,34.92,"Residential"
"28",571379.788113,3872845.74838,38.88,"Residential"
"29",571384.524561,3872844.65821,42.84,"Residential"
"30",571388.917587,3872843.51708,32.94,"Residential"
"31",571393.374665,3872844.00062,29.88,"Residential"
"32",571399.019769,3872843.21151,86.4,"Residential"
"33",571405.191298,3872840.96335,50.04,"Residential"
"34",571410.335266,3872840.49341,52.92,"Residential"
"35",571415.48047,3872841.37977,47.7,"Residential"
"36",571423.412452,3872841.82569,70.02,"Residential"
"37",571432.705512,3872844.9096,40.5,"Residential"
"38",571439.169534,3872844.19574,76.86,"Residential"
"39",571446.952476,3872853.81654,248.76,"Residential"
"40",571453.784461,3872851.6736,39.06,"Residential"
"41",571380.088448,3872860.60943,187.38,"Residential"
"42",571440.748304,3872870.91791,1.13,"Forest"
"43",571425.082563,3872868.78423,7.33,"Forest"
"44",571430.996782,3872903.77992,53.36,"Forest"
"45",571479.800774,3872903.43677,59.64,"Forest"
"46",571431.117823,3872796.22527,172.26,"Residential"
"47",571425.336156,3872796.86249,183.78,"Residential"
"48",571418.90025,3872796.78276,282.24,"Residential"
"49",571414.256556,3872793.6379,204.66,"Residential"
"50",571409.65143,3872796.76038,263.52,"Residential"
"51",571404.314163,3872796.07314,193.32,"Residential"
"52",571397.776987,3872808.57746,354.42,"Residential"
"53",571388.645048,3872802.99131,687.24,"Residential"
"54",571377.260776,3872809.25354,226.8,"Residential"
"55",571369.249647,3872809.93742,343.8,"Residential"
"56",571346.69107,3872800.76971,10.83,"Forest"
"57",571351.267504,3872834.64311,44.1,"Residential"
"58",571354.218344,3872819.80341,693.92,"Residential"
"59",571321.745296,3872724.17294,28.29,"Forest"
"60",571300.907915,3872754.69789,8.07,"Forest"
"61",571344.972517,3872768.41531,176.26,"Forest"
"62",571435.026318,3872631.20003,267.76,"Residential"
"63",571426.513608,3872622.09418,199.26,"Residential"
"64",571422.833157,3872601.76152,192.24,"Residential"
"65",571415.810313,3872613.8638,84.6,"Residential"
"66",571265.545134,3873102.10776,59.76,"Residential"
"67",571277.098462,3873091.1745,68.58,"Residential"
"68",571285.580154,3873071.4495,61.56,"Residential"
"69",571299.27892,3873042.14799,326.34,"Residential"
"70",571298.252235,3873024.64132,275.76,"Residential"
"71",571299.505338,3873015.13408,388.08,"Residential"
"72",571298.001464,3873003.75244,482.04,"Residential"
"73",571299.61032,3872990.88515,307.8,"Residential"
"74",571350.461363,3873009.96998,840.42,"Residential"
"75",571327.124457,3872993.71996,99.9,"Residential"
"76",571195.314798,3873093.53237,150.12,"Residential"
"77",571237.030186,3873086.78975,57.78,"Residential"
"78",571212.468463,3873092.18709,70.56,"Residential"
"79",571225.471864,3873089.73491,103.5,"Residential"
"80",571225.093732,3873074.17084,163.98,"Residential"
"81",571250.342193,3872990.07952,230.58,"Residential"
"82",571251.0406,3872999.88829,229.5,"Residential"
"83",571251.89278,3873009.2352,227.16,"Residential"
"84",571252.393743,3873018.54021,177.84,"Residential"
"85",571252.950817,3873025.0626,100.8,"Residential"
"86",571255.642601,3873061.87175,744.66,"Residential"
"87",571265.190283,3873042.93083,85.86,"Residential"
"88",571251.410512,3873032.8343,158.58,"Residential"
"89",571265.173458,3873037.00408,49.14,"Residential"
